,I,TRADING,VWAFCASPRICES,1,SETTLEMENTDATE,RUNNO,LOWER5MINVWAPRICE,LOWER5MINVOLUME,LOWER5MINREVENUE,LOWER6SECVWAPRICE,LOWER6SECVOLUME,LOWER6SECREVENUE,LOWER60SECVWAPRICE,LOWER60SECVOLUME,LOWER60SECREVENUE,LOWERREGVWAPRICE,LOWERREGVOLUME,LOWERREGREVENUE,RAISE5MINVWAPRICE,RAISE5MINVOLUME,RAISE5MINREVENUE,RAISE6SECVWAPRICE,RAISE6SECVOLUME,RAISE6SECREVENUE,RAISE60SECVWAPRICE,RAISE60SECVOLUME,RAISE60SECREVENUE,RAISEREGVWAPRICE,RAISEREGVOLUME,RAISEREGREVENUE,LASTCHANGED
26,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 16:30:00,1.0,1.03,112.83333,116.21833,1.15379,187.80833,216.69087,3.53979,228.73417,809.6717,17.3179,130.0,2251.3273,0.75579,241.005,182.1495,5.33281,373.48417,1991.72185,5.77463,389.7475,2250.64637,16.20537,138.385,2242.58063,2021/10/08 04:05:10
27,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 19:30:00,1.0,0.37559,108.43417,40.72666,0.88086,178.2075,156.97503,1.49158,217.2825,324.09423,13.04769,130.0,1696.2,0.77931,243.58917,189.83175,7.19788,363.79,2618.51827,6.27274,379.84833,2382.69058,14.23827,135.0,1922.16667,2021/10/08 04:05:10
28,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 22:00:00,1.0,0.46756,110.24,51.54427,1.0894,184.74,201.25607,1.88112,223.86667,421.1198,16.22051,130.0,2108.66667,0.76016,237.17,180.28613,4.48346,360.44,1616.01972,4.59577,373.32583,1715.72109,15.15167,136.12167,2062.46997,2021/10/08 04:05:10
29,D,TRADING,VWAFCASPRICES,1.0,2021-10-08 01:30:00,1.0,2.41687,113.85333,275.16823,2.46925,191.32583,472.43068,5.97839,232.54,1390.21597,12.74163,130.0,1656.41201,0.75121,235.67083,177.03938,5.54913,369.725,2051.65157,6.13784,384.02083,2357.05913,16.57505,138.24083,2291.34908,2021/10/08 04:05:10
30,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 06:30:00,1.0,1.01499,112.57,114.2575,1.15004,185.65,213.50542,3.29519,226.6075,746.71406,10.04691,130.0,1306.0985,0.75654,245.725,185.9,6.31872,371.07417,2344.71378,7.29755,386.16667,2818.07051,16.81716,135.00167,2270.34502,2021/10/08 04:05:10
31,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 08:00:00,1.0,0.19932,68.0675,13.56733,4.05626,187.6725,761.24795,5.78019,196.34333,1134.9025,17.25301,142.835,2464.33332,0.31291,169.86167,53.15123,1.64592,298.20333,490.81837,3.90392,314.52167,1227.86708,13.47099,135.0,1818.58333,2021/10/08 04:05:10
32,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 08:30:00,1.0,0.8768,81.34583,71.32442,4.12402,190.53583,785.7744,6.95329,199.32667,1385.97574,12.24661,130.2675,1595.3355,0.24935,162.95833,40.6343,1.65055,293.50667,484.44882,3.19138,309.935,989.12079,11.48827,135.0,1550.91667,2021/10/08 04:05:10
33,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 11:30:00,1.0,12.41336,115.87167,1438.35647,11.80852,198.49417,2343.92282,78.42666,239.67917,18797.23645,64.70954,130.00083,8412.2945,0.08183,143.73583,11.76247,1.47605,283.05167,417.7983,3.07767,299.68,922.31746,17.09684,135.0,2308.07296,2021/10/08 04:05:10
34,D,TRADING,VWAFCASPRICES,1.0,2021-10-07 16:00:00,1.0,2.7507,110.65333,304.37421,1.06852,190.4725,203.52443,3.54317,228.395,809.24293,12.82152,130.00083,1666.80883,0.89227,247.9725,221.25897,11.66964,380.53167,4440.66927,13.84892,397.345,5502.79796,14.4101,134.99917,1945.35146,2021/10/08 04:05:10
35,D,TRADING,VWAFCASPRICES,1.0,2021-10-08 04:00:00,1.0,3.92589,113.95083,447.35812,6.00316,193.6725,1162.64678,10.74362,234.09583,2515.03588,18.7358,130.0,2435.65402,0.75155,238.21583,179.03013,6.10772,367.83833,2246.65508,8.85831,380.69583,3372.32236,17.88299,135.0,2414.20325,2021/10/08 04:05:10
